"ID","age","sex","job","education","condition","adj_bart_score","adj_bart_score_early","adj_bart_score_middle","adj_bart_score_late","bart_payoff","bart_score","bart_score_early","bart_score_middle","bart_score_late","n_explosions","belief_optimal_inflations","belief_distribution","grips_commonly","grips_attracted","grips_chances","grips_fun","grips_enjoy","grips_part","grips_hurt","grips_friends","soep_leisure","soep_health","soep_driving","soep_occupation","soep_faith","soep_finance","soep_general","forb_gamble","forb_sport","forb_cigarettes","forb_invest","forb_speed","forb_drink"
1,30,"female","working","master","normal_low",23.16,23.5,22.6666666666667,23.375,6.02,23.2068965517241,23.2,22.6666666666667,23.7,4,32,50,4,5,5,5,4,5,4,5,9,8,4,10,9,6,9,0.0655737704918033,0.0655737704918033,0.571428571428571,0.010958904109589,0,0.0327868852459016
2,36,"female","working","master","normal_low",20.48,25.6666666666667,20,17.8,5.37,21.3793103448276,26.1111111111111,20.7,17.8,4,18,41,2,2,3,2,2,2,2,2,2,2,1,6,5,3,2,0.00273972602739726,0.00273972602739726,5,0.00273972602739726,0.0327868852459016,0.285714285714286
3,34,"male","working","professional","normal_moderate",24.0714285714286,22.6,26,23.5,3.37,23.7666666666667,23.5,21.9,25.9,16,23,35,4,4,5,3,5,2,5,4,6,10,0,2,10,8,10,0.0191780821917808,0,0,0,0,0
4,34,"male","unemployed","high_school","normal_low",25.8076923076923,25.625,25.4444444444444,26.3333333333333,6.71,25.6333333333333,25.2,25.8,25.9,4,26,19,2,3,3,5,2,2,4,2,8,2,3,4,7,3,2,0.010958904109589,0,15,0,0,0.39344262295082
5,58,"female","working","bachelor","normal_moderate",18.6666666666667,18.8333333333333,16.5,21,3.92,18.8666666666667,20,14.8,21.8,9,17,12,3,3,4,3,3,2,2,3,2,1,1,8,8,6,7,0,0,0,0.0655737704918033,0.0655737704918033,0.428571428571429
6,51,"female","working","bachelor","normal_high",24.2777777777778,27.2857142857143,23.4,21.5,4.37,21.0666666666667,24.3,20.9,18,12,30,15,2,1,2,2,1,1,2,2,2,1,2,4,8,4,2,0.00821917808219178,0,0,0.0712328767123288,1,0.0655737704918033
7,32,"female","working","high_school","uniform",13.304347826087,10.25,13.5,16.5714285714286,3.06,12.4333333333333,11,12.5,13.8,7,29,1,1,2,1,1,1,1,1,1,2,3,0,0,4,0,0,0,0,0,0.428571428571429,0.00547945205479452,0.00547945205479452
8,57,"female","working","professional","normal_moderate",20.6363636363636,25.1428571428571,19.8333333333333,17.6666666666667,4.54,19.9333333333333,23.8,18.2,17.8,8,31,18,1,1,2,2,1,2,1,2,2,4,2,2,5,1,2,0,0,10,0.010958904109589,0.714285714285714,0
9,63,"female","working","high_school","normal_low",23.7692307692308,21.25,23.6,26.5,6.18,23.7333333333333,21.4,23.6,26.2,4,27,22,1,1,2,1,2,1,1,1,2,1,1,5,5,1,1,0,0,0,0,0.285714285714286,0.714285714285714
10,34,"female","unemployed","high_school","uniform",13.8,12.6666666666667,14.75,13.6666666666667,2.9,12.5862068965517,12.6,13.5,11.5555555555556,9,10,17,2,2,3,2,2,2,1,2,8,4,1,7,7,4,3,0.00547945205479452,0,0,0.00273972602739726,0,0
11,35,"male","working","high_school","uniform",8.63636363636364,8.83333333333333,8.22222222222222,9,2,8.86666666666667,10.3,7.8,8.5,8,10,34,3,3,4,4,2,2,4,4,7,6,8,2,4,2,6,0.00547945205479452,0,5,0.0983606557377049,0.0655737704918033,1.42857142857143
12,54,"female","working","bachelor","normal_high",20.1739130434783,14.875,22.75,23.2857142857143,4.64,18.0666666666667,14.5,18.8,20.9,7,49,3,2,4,4,3,3,3,1,2,9,3,2,7,9,1,7,0,0,0,0.00273972602739726,1.14285714285714,0.00547945205479452
13,30,"female","working","bachelor","normal_low",10.6,14.6,10.9,6.3,3.18,10.6,14.6,10.9,6.3,0,55,22,2,1,2,3,3,3,2,1,6,6,5,5,3,4,3,0,0,0,0.0327868852459016,0.0655737704918033,0.0655737704918033
14,55,"female","working","professional","normal_low",25.5909090909091,23.125,27.7142857142857,26.2857142857143,5.89,25.6206896551724,22.9,28,26,7,26,12,2,3,3,2,3,2,3,2,4,4,4,3,7,3,4,0,0,0.00547945205479452,0,1.42857142857143,0.285714285714286
15,40,"male","working","high_school","normal_low",22.64,23.1428571428571,21.4444444444444,23.4444444444444,5.66,22.9333333333333,23.5,22,23.3,5,46,12,4,4,0,5,4,4,5,4,10,10,9,8,8,10,5,0.0164383561643836,0,0,0.00273972602739726,0.0327868852459016,0.571428571428571
16,45,"female","working","high_school","normal_high",22.75,22.875,22,23.6,4.55,19.4333333333333,20.2,18.9,19.2,10,25,11,2,3,3,3,2,2,1,2,6,7,2,3,3,3,3,0,0,0,0,0,0.714285714285714
17,46,"female","working","master","normal_high",22.2,24.2857142857143,23.1428571428571,18.6666666666667,4.44,19.6,22.2,20.3,16.3,10,30,7,3,3,4,4,4,3,4,4,7,3,7,6,3,3,6,0.0164383561643836,0,0,0.0136986301369863,0.491803278688525,1.14285714285714
18,32,"female","working","bachelor","normal_low",25.952380952381,29.3333333333333,28.1428571428571,21.5,5.45,25.9333333333333,27.5,28.1,22.2,9,31,7,2,2,3,2,2,2,1,1,2,1,5,2,3,5,5,0.285714285714286,0.00547945205479452,0.714285714285714,0.00547945205479452,0.163934426229508,0.285714285714286
19,42,"male","working","bachelor","normal_moderate",25,25,25,25,5,23.1,23.7,21.3,24.3,10,25,6,2,2,2,3,2,1,1,1,4,0,3,3,2,1,2,0,0,0,0,0.285714285714286,0
20,61,"female","retired","master","normal_high",18.5789473684211,10.75,22.4285714285714,27.5,3.53,17.6666666666667,11.2,19.8,22,11,25,24,1,1,1,2,1,1,1,1,1,3,2,2,5,2,2,0.285714285714286,0,0,0.00547945205479452,0.0273972602739726,0.0136986301369863
21,30,"male","working","high_school","normal_moderate",22.5714285714286,23.8333333333333,22.2857142857143,21.875,4.74,21.4,23,19.4,21.8,9,32,45,2,2,2,3,1,1,1,1,2,0,0,6,0,0,3,0.0327868852459016,0,12,0,2,0.131147540983607
22,24,"male","working","high_school","normal_low",27.7142857142857,30.3333333333333,27.7142857142857,25.75,5.82,27.4333333333333,28.1,28.4,25.8,9,30,49,4,4,5,4,4,4,4,3,10,9,9,9,10,10,10,0.0655737704918033,0,0,0.0327868852459016,0.918032786885246,0.428571428571429
23,61,"male","working","professional","uniform",31.2307692307692,22.8,31.6666666666667,39.4,4.06,24.2666666666667,18.2,26.4,28.2,17,34,9,3,4,4,4,4,3,3,4,7,9,4,7,8,5,8,0,0,0,0.131147540983607,2,0
24,40,"male","working","master","normal_low",23.36,24.3333333333333,24.3,21.6666666666667,6.06,24.2413793103448,26.5,24.3,21.6666666666667,4,31,21,2,2,2,2,2,2,1,2,5,3,3,2,3,2,2,0.00821917808219178,0.0136986301369863,0,2,0.131147540983607,0.285714285714286
25,33,"female","working","high_school","normal_high",9.96,4.88888888888889,14.125,11.5,2.49,9.6,5.8,11.9,11.1,5,21,21,3,3,4,4,3,3,4,4,8,6,3,7,2,8,8,0.0327868852459016,0.0655737704918033,10,0.00273972602739726,0.285714285714286,1
26,26,"male","working","bachelor","uniform",28.3684210526316,19.5,30.8571428571429,34.3333333333333,5.39,22.5666666666667,16.7,25.5,25.5,11,26,36,2,2,3,3,2,2,2,3,7,3,2,3,3,4,4,0.0273972602739726,0.00547945205479452,0,0.0547945205479452,0.00821917808219178,0.0821917808219178
27,37,"male","working","bachelor","uniform",16.3333333333333,12.3333333333333,15.625,20.5714285714286,3.43,14.4,12.4,14.2,16.6,9,21,0,2,3,3,3,2,3,2,3,7,0,2,7,5,4,5,0.00547945205479452,0,0,0.010958904109589,2,0
28,32,"male","working","bachelor","normal_low",25.047619047619,27.8571428571429,24,23.375,5.26,25.6,27.3,25.8,23.7,9,27,37,1,2,3,3,2,2,2,2,6,2,2,4,2,3,2,0.0136986301369863,0,0,0.00273972602739726,0.0655737704918033,0.714285714285714
29,54,"female","working","master","uniform",15.1428571428571,10.5714285714286,15.5,20,3.18,13.7666666666667,10.3,14.1,16.9,9,25,4,2,2,2,3,1,2,1,2,4,2,1,7,7,8,6,0.142857142857143,0,0,0.0655737704918033,0.285714285714286,0.0327868852459016
30,35,"male","working","high_school","normal_high",24.0588235294118,20.4285714285714,26.2857142857143,27.3333333333333,4.09,21.2666666666667,18.3,21.9,23.6,13,28,7,3,3,4,3,3,3,4,4,5,5,7,6,8,4,6,0.00547945205479452,0.00821917808219178,10,0.00547945205479452,1,0.857142857142857
31,22,"female","working","bachelor","uniform",14.45,14.8333333333333,15,13.5714285714286,3.04,12.8620689655172,13.4,13.5555555555556,11.7,9,15,0,1,2,3,4,2,1,1,1,2,1,0,0,4,0,3,0.00547945205479452,0,0,0.00273972602739726,0,0.0983606557377049
32,24,"male","working","high_school","normal_moderate",16.5384615384615,15.1111111111111,16.375,18.1111111111111,4.3,16.3333333333333,16.1,14.7,18.2,4,15,50,3,2,4,4,3,3,1,1,6,0,0,0,0,4,5,0.0327868852459016,0,0,0.0821917808219178,0,0.327868852459016
33,42,"female","working","high_school","normal_high",20.6190476190476,17.625,25.4285714285714,19,4.33,17.9,16,21.2,16.5,9,35,11,2,1,1,1,1,1,1,1,5,2,3,5,5,3,5,0,0,0,0,1,0
34,33,"male","working","high_school","uniform",15.3636363636364,14,15.1111111111111,16.8571428571429,3.38,13.6333333333333,12.9,14,14,8,12,14,1,1,1,1,1,1,1,1,2,1,1,0,6,0,0,0,0,0,0,0.0983606557377049,0
35,39,"female","working","bachelor","normal_low",29,30.5,29.6,27.7142857142857,4.64,29.1333333333333,30.9,29.3,27.2,14,29,37,1,2,3,3,1,1,1,2,0,7,4,5,8,2,4,0.00273972602739726,0,18,0,0.714285714285714,0
36,29,"male","working","high_school","uniform",13.8636363636364,12.8571428571429,15.625,12.8571428571429,3.05,12.4333333333333,11.9,14.2,11.2,8,25,5,1,2,2,2,2,2,1,2,5,0,1,4,5,5,3,0.142857142857143,0,0,0.00273972602739726,0.0327868852459016,0.142857142857143
37,34,"female","working","professional","uniform",20.047619047619,11.4285714285714,18.125,32.6666666666667,4.21,17.5666666666667,12,16.2,24.5,9,31,19,2,2,2,2,3,2,2,2,5,3,3,3,5,4,3,0.0655737704918033,0.00273972602739726,0,0.00547945205479452,1,0.428571428571429
38,33,"male","working","high_school","uniform",22.7894736842105,18,22.125,27.6666666666667,4.33,18.8333333333333,15.6,19.4,21.5,11,51,18,2,2,3,3,2,3,2,1,7,6,6,4,7,4,4,0,0.0327868852459016,0,0,2,1.85714285714286
39,29,"female","working","high_school","uniform",19.047619047619,18.6666666666667,19.125,19.2857142857143,4,16.3,16.2,17,15.7,9,13,3,2,3,5,1,2,2,3,2,3,5,2,10,10,1,5,0.0136986301369863,0,10,0.00547945205479452,0.428571428571429,0.0327868852459016
40,43,"male","working","bachelor","normal_high",28.0625,24.8333333333333,30.8,29.2,4.49,22.9666666666667,22.2,24.7,22,14,24,0,2,3,4,3,2,2,1,3,5,1,5,2,5,6,5,0.010958904109589,0,0,0.010958904109589,2,0
41,23,"female","unemployed","high_school","uniform",12.2916666666667,11.75,12,13.2857142857143,2.95,11.2666666666667,11.1,11.2,11.5,6,10,0,1,1,2,1,1,1,1,1,0,2,0,4,0,2,0,0,0,0,0.00273972602739726,0,0
42,29,"male","student","high_school","normal_high",16.1363636363636,16.1428571428571,17.75,14.2857142857143,3.55,14.4333333333333,15.3,14.8,13.2,8,25,7,2,4,5,5,3,2,4,2,9,2,7,1,3,5,8,0.0327868852459016,0.00273972602739726,0.0327868852459016,0.00547945205479452,0.714285714285714,0.857142857142857
43,32,"male","working","high_school","uniform",8.29166666666667,7.85714285714286,8.33333333333333,8.625,2,8.56666666666667,9.5,7.9,8.3,6,7,27,1,1,3,2,1,3,1,2,5,0,1,1,8,3,3,0.0327868852459016,0,0,0.0327868852459016,0.142857142857143,0.0327868852459016
44,34,"female","unemployed","high_school","normal_high",19.047619047619,13.75,20.875,24.6,4,16.6333333333333,12.9,17.3,19.7,9,35,25,1,1,3,1,1,1,1,1,0,0,0,10,5,6,5,0,0,0,0,0.285714285714286,0
45,31,"female","working","professional","normal_moderate",13.8076923076923,15.6666666666667,10.375,15,3.59,13.9666666666667,15.9,9.9,16.1,4,15,9,1,1,1,1,1,1,1,1,6,4,4,1,7,0,2,0.428571428571429,0,30,0,0.163934426229508,1.31147540983607
46,55,"female","working","bachelor","uniform",4.59259259259259,5.75,4.44444444444444,3.8,2,5.36666666666667,7.9,4.4,3.8,3,10,38,2,3,4,4,4,3,2,3,7,5,8,8,0,3,7,0,0.00547945205479452,0,0.00273972602739726,0,1
47,57,"female","working","high_school","normal_high",26.3157894736842,28.75,24.2857142857143,25,5.25,21.6551724137931,24.9,20.5,19.3333333333333,10,30,3,2,2,3,3,2,2,2,1,3,2,3,6,5,3,4,0.0327868852459016,0,20,0,2,0
